
12:18:34 Абонент - ['Иван', 'Иванов', '8800100', 'Москва']
12:18:55 Абонент - ['Николай', 'Барский', '8800123', 'Спб']
12:19:17 Абонент - ['Марат', 'Насыров', '100200', 'Казань']
12:19:35 Абонент - ['Дмитрий', 'Козлов', '100300', 'Москва']
13:18:13 Абонент - 12:00:24 Абонент - ['Петр', 'Петров', '12345', 'Спб']

13:22:43 Абонент - 12:18:34 Абонент - ['Иван', 'Иванов', '8800100', 'Москва']

13:29:57 Абонент - ['Вася', 'Смирнов', '100400', 'Спб']
17:12:24 Абонент - ['Илья', 'Булатов', '8800900', 'Спб']
17:15:03 Абонент - ['Света', 'Сидорова', '100500', 'Москва']
